Orear,Bryan,C,3,748
Kato,Wicklund,A,3,157
Navin,Zenbaver,G,3,430
Overhulser,Trimis,O,4,248
Bali,Hopper,F,2,185
Capwell,Greever,P,4,330
Lagerberg,Kary,A,1,795
Russomano,Olson,E,1,153
Ferrett,Okeke,Q,2,577
Alberding,Adil,K,3,17
Landin,Stewart,B,2,750
Tafel,Goffredo,M,3,720
Westerhold,Heater,A,2,656
Bisping,Hellams,F,4,194
Pleitez,Mackynen,B,4,38
Sondag,Reddick,K,3,101
Mihor,Neves,F,5,120
Nacci,Hawksley,L,5,114
Swiech,Belkowski,A,10,483
Frankenstein,Borup,C,3,717
Eichelberger,Kynard,J,3,602
Nipper,Riesenberg,C,2,282
Barboza,Sjulstad,G,2,642
Tuesburg,Oachs,N,2,562
Steindorf,Saldivar,K,3,140
Schirm,Bendickson,H,5,453
Trajillo,Liang,N,2,327
Modrak,Crummett,J,2,498
Perng,Azimi,O,3,521
Hazel,Tomb,E,5,149
Smayda,Mcgillen,A,7,759
Strole,Zahl,E,4,569
Grabo,Houlahan,O,4,465
Firestine,Woodburn,G,3,49
Rask,Cabbagestalk,D,1,401
Petitjean,Nissalke,Q,4,150
Batman,Volcko,A,7,576
Mohrman,Kiebala,D,5,384
Bazarte,Bromfield,I,4,490
Loup,Zeimetz,M,5,642
Kosinar,Demyan,E,1,437
Stegeman,Spindola,B,2,680
Ambrosone,Schaberg,H,3,478
Korchnak,Sjoquist,J,2,743
Kostiv,Muczynski,C,1,576
Alberta,Duitch,A,7,894
Sarelas,Datcher,E,1,328
Justus,Alcide,P,1,288
Page,Prefontaine,G,1,626
Mcglynn,Grime,A,8,795
Tepe,Pelino,E,2,521
Anesi,Duvall,M,1,374
Hoof,Dickason,M,3,463
Lecuyer,Abeb,I,3,583
Legleu,Durkee,A,5,917
Sakaguchi,Fedele,I,4,748
Sugahara,Elhaj,C,1,444
Steins,Tams,H,2,420
Shell,Stepney,K,2,443
Paschall,Timmins,N,4,493
Lamey,Zeminski,K,2,128
Angustia,Crichton,L,1,585
Peggs,Eskridge,L,3,669
Vanpoucke,Camerano,A,9,314
Gauron,Dooley,J,2,302
Rattray,Mcelpraug,A,8,6
Ardeneaux,Brevo,C,4,201
Holtzman,Pucciarelli,J,4,727
Haugaard,Kenter,D,4,638
Lovensheimer,Bohmker,M,2,149
Fujino,Dure,H,4,447
Poplaski,Shad,P,1,491
Ayotte,Wuori,M,3,514
Phearsdorf,Corneluis,A,3,69
Chipps,Trefethen,I,2,174
Brevik,Sotelo,A,3,186
Lipke,Banta,B,4,302
Fekete,Leventer,H,4,90
Mcelmarry,Simonds,L,3,730
Buhite,Mcminn,F,5,615
Muther,Risper,L,2,231
Ullo,Hartly,J,1,363
Azapinto,Bawany,J,5,705
Creacy,Mcright,F,5,410
Huntsinger,Rudolph,F,4,409
Jove,Trebon,I,5,354
Lefeld,Tassoni,O,2,476
Mackedanz,Bivings,C,4,667
Bernice,Ovit,K,1,313
Raupach,Wassinger,L,4,650
Turrie,Rosenbloom,G,5,337
Holzmiller,Mandonado,A,2,910
Buemi,Sturgell,I,3,394
Blystone,Fordham,A,2,163
Kratofil,Torda,O,3,151
Patriss,Humpherys,B,4,686
Stecklair,Banowetz,E,1,211
Byran,Calcaterra,A,9,630
